[Processes]
324,
[System Process],0
System,4
Secure System,104
Registry,180
smss.exe,684
csrss.exe,1012
wininit.exe,1048
csrss.exe,1056
services.exe,1120
LsaIso.exe,1132
lsass.exe,1148
svchost.exe,1276
fontdrvhost.exe,1304
svchost.exe,1372
svchost.exe,1420
winlogon.exe,1488
fontdrvhost.exe,1540
dwm.exe,1612
svchost.exe,1712
svchost.exe,1756
svchost.exe,1764
svchost.exe,1772
svchost.exe,1808
svchost.exe,1836
svchost.exe,1936
svchost.exe,2000
svchost.exe,2028
svchost.exe,1536
svchost.exe,2076
svchost.exe,2172
svchost.exe,2284
WUDFHost.exe,2328
svchost.exe,2360
svchost.exe,2404
svchost.exe,2428
svchost.exe,2500
vmms.exe,2564
svchost.exe,2612
svchost.exe,2644
svchost.exe,2692
svchost.exe,2772
amdfendrsr.exe,2816
atiesrxx.exe,2828
dasHost.exe,2900
svchost.exe,2916
svchost.exe,1752
svchost.exe,2572
svchost.exe,2164
wsc_proxy.exe,2728
atieclxx.exe,3016
Memory Compression,3148
svchost.exe,3264
svchost.exe,3272
svchost.exe,3368
svchost.exe,3420
svchost.exe,3480
svchost.exe,3564
svchost.exe,3632
svchost.exe,3940
vmcompute.exe,3248
svchost.exe,4212
svchost.exe,4452
WmiPrvSE.exe,4504
svchost.exe,4628
CTAudSvc.exe,4732
svchost.exe,4772
svchost.exe,4776
svchost.exe,4788
svchost.exe,4796
svchost.exe,4924
svchost.exe,5016
svchost.exe,3672
svchost.exe,4076
svchost.exe,5156
svchost.exe,5200
AvastSvc.exe,5208
aswToolsSvc.exe,5480
spoolsv.exe,5584
svchost.exe,5652
svchost.exe,5692
Corsair.Service.exe,5844
CorsairGamingAudioCfgService64.exe,5852
DSAService.exe,5860
EvtEng.exe,5868
svchost.exe,5876
KinectManagementService.exe,5884
svchost.exe,5892
svchost.exe,5900
ibtsiva.exe,5908
svchost.exe,5916
svchost.exe,5924
svchost.exe,5936
svchost.exe,5944
Ext2Srv.exe,5952
